COMUNA;CANAL;CADENA;FORMATO;FOLIO;CALLE;NUMERO
Arica;TRADICIONAL;SAN MARTIN;ALMACEN;11000018;ANGEL BRASS;2310
Arica;TRADICIONAL;ALMACEN CAROLINA;ALMACEN;11000031;MAIPU;488
Arica;TRADICIONAL;MINIMERCADO HUMIRE;ALMACEN;11000041;CONRADO RIOS;1521
Arica;TRADICIONAL;SAN MARCO;ALMACEN;11000042;LOS PLATANOS;2136
Arica;TRADICIONAL;LAS GEMELAS;ALMACEN;91000043;ROSARIO AGUIRRE;4247
